"observacion","modelo","c","d","sigma","mu","f","g","h","n","t_0"
"144_240","step","NA","NA","NA","NA","52.1953815342","-0.260952370929","40.8278245161","0.0785426822244","-17.9679408262"
"145_240","step","NA","NA","NA","NA","137.874305231","-0.184262782694","-94.8490701856","-0.195673104349","-15.4192805631"
"146_240","step","NA","NA","NA","NA","128.794553933","-0.0910947301254","-8.84313951658","-5.07003646734","-16.5915201568"
"147_240","gauss","131.408645514","-0.0634535933216","0.483412527735","-5.20903216834","NA","NA","NA","NA","NA"
"138_241","gauss","-16.8039903209","0.0668436676017","6.54400713609","-13.0427864121","NA","NA","NA","NA","NA"
"139_241","step","NA","NA","NA","NA","-16.4370877486","0.0624356910989","5.68867623085","-111.260419234","-95.2512617744"
"140_241","step","NA","NA","NA","NA","-28.8825471086","0.0754840585984","2.99191956987","35.0479044397","26.111314675"
"141_241","gauss","-35.2787257816","0.0884720076474","6.50401760596","-56.4869855969","NA","NA","NA","NA","NA"
"142_241","step","NA","NA","NA","NA","-14.992387685","0.00753018806334","-2.16197491984","0.222841517926","-0.436100843941"
"143_241","step","NA","NA","NA","NA","37.4611360739","-0.145523151529","32.6480703596","-19.7144913355","-25.4879821053"
"144_241","step","NA","NA","NA","NA","64.6165793866","-0.23061160787","14.7584558848","2.9006514379","27.0950615029"
"145_241","step","NA","NA","NA","NA","109.06024668","-0.168767523199","-3.8693944113","-63.3835807905","-42.4119556673"
"146_241","step","NA","NA","NA","NA","102.471502262","-0.103355517831","4.82244532911","12.0372689121","22.2643908007"
"147_241","gauss","115.307200437","-0.0638459006798","-0.895547566624","-46.7949170901","NA","NA","NA","NA","NA"
"138_242","gauss","-11.4453060323","0.0444670634523","-0.236675279479","-27.7055546711","NA","NA","NA","NA","NA"
"139_242","step","NA","NA","NA","NA","-2.63908694532","0.0457754713542","-4.23839571639","4.0901879076","0.324785775379"
"140_242","step","NA","NA","NA","NA","-22.4610465257","0.0642939937808","2.35865876323","8.6132213994","-2.73156181418"
"141_242","gauss","-32.2885964116","0.0853266339236","3.55045967563","30.4465374899","NA","NA","NA","NA","NA"
"142_242","step","NA","NA","NA","NA","-23.2333638581","0.0438944351177","-6.15581861881","24.0729903568","44.1874285535"
"143_242","step","NA","NA","NA","NA","-13.9857192793","-0.0699421364255","4.79030746389","10.0486142731","-12.4094738517"
"144_242","step","NA","NA","NA","NA","48.5321970127","-0.163172878336","-8.88225427244","-8.40988958061","16.3001514392"
"145_242","gauss","81.9639226213","-0.153343421897","-0.43401258578","10.7247753159","NA","NA","NA","NA","NA"
"146_242","step","NA","NA","NA","NA","78.6184519794","-0.0920779102064","6.13263496393","48.820815127","48.7904267724"
"147_242","step","NA","NA","NA","NA","90.6523936917","-0.0363254059261","49.3565604779","-142.407559173","-122.98557147"
"138_243","step","NA","NA","NA","NA","58.9604864611","0.0278541039605","-32.6438452597","6.16667553457","-0.741373178858"
"139_243","gauss","-6.10600993626","0.0327969669894","1.483893476","10.2209023207","NA","NA","NA","NA","NA"
"140_243","step","NA","NA","NA","NA","-5.28292912875","0.0513999565817","-3.53671189467","31.6097162435","37.2211548874"
"141_243","step","NA","NA","NA","NA","-16.6530119602","0.078453331424","-4.65289143305","62.3702882071","67.4450384699"
"142_243","step","NA","NA","NA","NA","-30.8701544141","0.0689539698577","-3.54977363224","55.3910697991","53.0768901179"
"143_243","step","NA","NA","NA","NA","-30.6213723318","-0.00277123001515","-58.1277530255","-7.8337249836","-5.88677021258"
"144_243","gauss","2.47137125872","-0.0787582395019","11.6480717507","-64.6539871244","NA","NA","NA","NA","NA"
"145_243","gauss","43.2802426437","-0.10203486486","-1.71851824099","-35.726467668","NA","NA","NA","NA","NA"
"146_243","gauss","66.2807109366","-0.0661970792537","-1.58289347302","0.36504705277","NA","NA","NA","NA","NA"
"147_243","step","NA","NA","NA","NA","71.3344663197","-0.0167881875364","-33.3711572321","-29.6515954981","-19.1856545382"
"138_244","step","NA","NA","NA","NA","-5.46705539762","0.0258193284642","9.99291400949","-1.25188974373","2.54680256715"
"139_244","step","NA","NA","NA","NA","-5.03406481917","0.0330112219491","11.0141493261","-5.72965765231","-0.0399143765747"
"140_244","step","NA","NA","NA","NA","-1.94109312113","0.0407957765233","-2.11009355753","66.04636592","80.2724086704"
"141_244","step","NA","NA","NA","NA","-12.2569491526","0.050834660651","2.4100207763","-1.18444404293","22.0988335649"
"142_244","step","NA","NA","NA","NA","-8.74752586587","0.0565556347376","-7.72126477289","7.78928919594","-6.49007600065"
"143_244","step","NA","NA","NA","NA","-37.9989911188","0.0305482946886","3.04564767115","23.3677997284","22.4438501854"
"144_244","step","NA","NA","NA","NA","-36.5809183233","-0.0148721358333","7.67478952958","31.6211680834","35.4677720675"
"145_244","step","NA","NA","NA","NA","4.04064378067","-0.033132424623","-5.13924286786","-20.0050846169","12.5653584288"
"146_244","step","NA","NA","NA","NA","27.8246801522","-0.0600620374326","7.5613615186","74.9871198025","71.3737592115"
"147_244","step","NA","NA","NA","NA","55.0622398719","-0.0177586995548","-96.0601357011","-69.3523965566","-50.0120260572"
