10,1794760.0,57297902400.0
20,2002940.0,81903236400.0
30,1763560.0,88948665066.666672
40,1822050.0,88843985500.0
50,1803160.0,86372334400.0
60,1822273.3333333333,109306237288.8889
70,1741177.142857143,88329169763.26532
80,1789250.0,74184729500.0
90,1807204.4444444445,84012588424.69136
100,1824760.0,123311764800.0
200,1779658.0,100702079036.0
300,1808317.3333333333,137506056099.55566
400,1783631.0,93466021839.0
500,1820864.0,129742770304.0
600,1811794.0,107360857564.0
700,1804052.0,109055732381.71428
800,1804801.5,109766555397.75
900,1789017.3333333333,100371022455.11098
1000,1793745.6000000001,106543885360.63945
2000,1809517.8,107398087883.16318
3000,1794328.9333333333,105290486629.52841
4000,1805158.8,105665314942.55774
5000,1806472.1599999999,111013241448.93152
6000,1804504.1333333333,109876827236.24846
7000,1806695.142857143,108227256136.40709
8000,1801941.6000000001,104769644029.4216
9000,1800101.3777777778,108259436282.54712
10000,1800789.52,106424507346.18791
20000,1804095.8200000001,109505176154.55132
30000,1802810.3999999999,106841625363.82053
40000,1802745.0800000001,108236387159.70842
50000,1806146.9280000001,107699030802.54102
60000,1797913.6399999999,105703369923.23932
70000,1802239.6971428571,107210630652.70271
80000,1802228.55,107549349192.81067
90000,1801649.4711111111,106998913653.96289
